begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
00:24.8,00:25.9,0,,,,Husband_H01_WH,Husband_H01_WH,无理取闹..,Wúlǐqǔnào..,She is deliberately provocative.,camera,antagonist,-ve,judgement,inscribe,,,无理取闹,,,monoglossic,,
00:25.9,00:26.7,0,,,,,Husband_H01_WH,不讲道理,bù jiǎng dàolǐ.,She makes trouble without reason.,camera,antagonist,-ve,judgement,inscribe,,,不讲道理,,,monoglossic,,
00:26.7,00:35.4,0,,,,Voiceover,Voiceover,voiceover,,,,,,,,,,,,,,,
00:35.4,00:37.0,0,,,,Wife_H01_AW,Wife_H01_AW,他是道貌岸然的,tā shì dàomào'ànrán de.,He is hypocritical,camera,antagonist,-ve,judgement,inscribe,,,道貌岸然,,,contract:proclaim,是……的,
00:37.0,00:38.1,0,,,,,Wife_H01_AW,阳奉阴违的,Yángfèngyīnwéi de.,He pays lip service.,camera,antagonist,-ve,judgement,inscribe,,,阳奉阴违,,,contract:proclaim,是……的,
00:38.1,00:41.5,0,,,,,Wife_H01_AW,不是那种很坦诚的过日子,Bùshì nà zhǒng hěn tǎnchéng de guòrìzi.,He is not faithful towards our relationship.,camera,antagonist,-ve,judgement,inscribe,,,不坦诚,down:isolated,不很,monoglossic,,
00:41.6,00:55.6,0,,,,Voiceover,Voiceover,voiceover,,,,,,,,,,,,,,,
00:55.6,00:59.2,0,,,,Wife_H01_AW,Wife_H01_AW,他之前是很负责任的一个男人..一个老公,Tā zhīqián shì hěn fù zérèn de yīgè nánrén.. yīgè lǎogōng.,He used to be a very responsible man and husband.,camera,antagonist in the past,+ve,judgement,inscribe,,,负责任,up:isolated,很,monoglossic,,
00:59.2,01:00.9,0,,,,,Wife_H01_AW,很体贴的一个男人,Hěn tǐtiē de yīgè nánrén.,A very considerate man.,camera,antagonist in the past,+ve,judgement,inscribe,,,体贴,up:isolated,很,monoglossic,,
01:00.9,01:06.0,0,,,,,Wife_H01_AW,就是他因为发生了这次事..变了,Jiùshì tā yīnwèi fāshēngle zhè cì shì.. biànle.,It is because of this incident that he has changed.,camera,antagonist,-ve,judgement,invoke,contrast,,变了,,,contract:proclaim,就,
01:06.0,01:10.6,0,,,,,Wife_H01_AW,给我感觉是我这几年完全是被他蒙在鼓里,Gěi wǒ gǎnjué shì wǒ zhè jǐ nián wánquán shì bèi tā méng zài gǔ lǐ.,It gives me the feeling that I have been completely cheated by him in recent years.,camera,antagonist,-ve,judgement,inscribe,,,蒙在鼓里,up:isolated,完全,expand:entertain,感觉,
01:10.6,01:11.9,0,,,,,Wife_H01_AW,被他骗着过日子,Bèi tā piànzhe guòrìzi.,I was deceived by him.,camera,antagonist,-ve,judgement,inscribe,,,骗,up:infused,骗,expand:entertain,,
01:11.9,01:13.3,0,,,,,Wife_H01_AW,我感觉很难受,Wǒ gǎnjué hěn nánshòu.,I feel very terrible.,camera,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,难受,up:isolated,很,monoglossic,,
01:13.3,01:49.3,0,,,,Voiceover,Voiceover,voiceover,,,,,,,,,,,,,,,
02:04.3,02:07.2,1,,,,Hostess_H01,Hostess_H01,到《金牌调解》来是为了解决什么问题,Dào “jīnpái tiáojiě” lái shì wèi liǎo jiějué shénme wèntí,What problem do you want to solve by coming to the Gold Medal Mediation,couple,,,,,,,,,,,,
02:08.0,02:15.7,2,,,,Wife_H01_AW,Wife_H01_AW,我诉求..拒绝过那种表里不一..,Wǒ sùqiú.. jùjuéguò nà zhǒng biǎo lǐ bù yī..,I request.. (I) refuse to live a life that is duplicitous,hostess,relationship,-ve,appreciation,inscribe,,,表里不一,up:infused,表里不一,expand:entertain,诉求,
02:08.0,02:15.7,2,,,,,Wife_H01_AW,阳奉阴违的日子,yángfèngyīnwéi de rìzi…,and deceitful,hostess,relationship,-ve,appreciation,inscribe,,,阳奉阴违,up:infused,阳奉阴违,expand:entertain,诉求,
