begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
01:58.2,02:00.5,1,,,,Hostess_W02,Hostess_W02,有问题来调解..来调解没问题,"Yǒu wèntí lái tiáojiě, lái tiáojiě méi wèntí ",If there is a problem come to mediate.. If you come to mediate then there will be no problem,,,,,,,,,,,,,,,,,,,,,,
02:00.5,02:03.1,1,,,,,Hostess_W02,大家好..欢迎收看江西卫视《金牌调解》,"dàjiā hǎo, huānyíng shōukàn jiāngxī wèishì “jīnpái tiáojiě” ","Hello everyone.. welcome to Jiangxi TV ""Gold Medal Mediation""",,,,,,,,,,,,,,,,,,,,,,
02:03.1,02:03.9,1,,,,,Hostess_W02,我是张艳,wǒ shì zhāng yàn ,I am Zhang Yan,,,,,,,,,,,,,,,,,,,,,,
02:03.9,02:06.5,1,,,,,Hostess_W02,欢迎本场调解员..胡剑云..胡老师,huānyíng běn chǎng tiáojiě yuán.. Hújiànyún.. Hú lǎoshī ,Welcome the master mediator.. Hu Jianyun.. Teacher Hu,,,,,,,,,,,,,,,,,,,,,,
02:06.5,02:07.6,1,,,,,Hostess_W02,欢迎您,huānyíng nín ,Welcome,,,,,,,,,,,,,,,,,,,,,,
02:07.6,02:09.6,1,,,,,Hostess_W02,欢迎场上的观察员们,huānyíng chǎng shàng de guāncháyuánmen ,Welcome today's observers,,,,,,,,,,,,,,,,,,,,,,
02:09.6,02:10.6,1,,,,,Hostess_W02,欢迎大家,huānyíng dàjiā ,Hello everybody,,,,,,,,,,,,,,,,,,,,,,
02:10.6,02:12.8,1,,,,,Hostess_W02,欢迎场上的一对当事人,huānyíng chǎng shàng de yī duì dāngshìrén ,Welcome today's disputants,,,,,,,,,,,,,,,,,,,,,,
02:12.8,02:15.7,1,,,,,Hostess_W02,是一对夫妻...刘女士和李先生,shì yī duì fūqī... Liú nǚshì hé lǐ xiānshēng ,It's a couple...Ms. Liu and Mr. Li,,,,,,,,,,,,,,,,,,,,,,
02:15.7,02:19.0,1,,,,,Hostess_W02,两位今天来到《金牌调解》...要解决什么问题,liǎng wèi jīntiān lái dào “jīnpái tiáojiě”... Yào jiějué shénme wèntí,"The two of you came to ""Gold Medal Mediation"" today...what problem to solve",,,,,,,,,,,,,,,,,,,,,,
02:19.0,02:21.5,2,,,,Wife_W02_WW,Wife_W02_WW,我是..要离婚,Wǒ shì.. Yào líhūn ,I.. want a divorce,hostess,,,,,,,,,,relationship,-ve,appreciation,inscribe,,,离婚,,,expand:entertain,我是要,
02:21.5,02:23.6,2,,,,,Wife_W02_WW,已经起诉离婚,yǐjīng qǐsù líhūn ,(I) have sued for divorce,hostess,,,,,,,,,,relationship,-ve,appreciation,invoke,evoke,,,,,contract:proclaim,已经,
02:23.6,02:25.5,2,,,,,Wife_W02_WW,他不愿意离婚,tā bù yuànyì líhūn ,He is not willing to divorce,hostess,,,,,,,,,,antagonist,-ve,affect,inscribe,,observed,,,,monoglossic,,
02:25.5,02:30.2,2,,,,,Wife_W02_WW,就在前几天(1.05)小孩的一句话,jiù zài qián jǐ tiān (1.05) Xiǎohái de yījù huà,Just a few days ago (1.05) my child said a sentence,hostess,,,,,,,,,,,,,,,,,,,,,
02:30.2,02:35.0,2,,,,,Wife_W02_WW,小孩说妈妈我不想...别人说我没有爸妈的孩子, xiǎohái shuō māmā wǒ bùxiǎng... Biérén shuō wǒ méiyǒu bà mā de háizi ,My child said that mom I don’t want to...others say that I am a child without parents,hostess,,,,,,,,,,relationship,-ve,appreciation,invoke,quotation:other,,,,,expand:attribute,小孩说,
02:35.0,02:38.7,2,,,,,Wife_W02_WW,所以...我心里也...犹豫起来了,suǒyǐ... Wǒ xīnlǐ yě... Yóuyù qǐláile ,So... in my heart… I start to hesitate,hostess,,,,,,,,,,self,-ve,affect,inscribe,,other,犹豫,,,contract:proclaim,,
02:38.7,02:43.1,2,,,,,Wife_W02_WW,呃想让各位老师...帮我...分析,è xiǎng ràng gèwèi lǎoshī... Bāng wǒ... Fēnxī ,eh I want to let the teachers... help me... Analyze,hostess,,,,,,,,,,,,,,,,,,,,,
02:43.1,02:46.8,2,,,,,Wife_W02_WW,看我这段婚姻...有必要再...继续吗,kàn wǒ zhè duàn hūnyīn... Yǒu bìyào zài... Jìxù ma,to see if my marriage... is it necessary to... Continue,hostess,,,,,,,,,,relationship,-ve,appreciation,invoke,irrealis Affect,,婚姻继续,,,expand:entertain,有必要吗,
02:48.8,02:52.1,3,,,,Hostess_W02,Hostess_W02,那你觉得你们的婚姻走到今天最大的原因是什么,Nà nǐ juédé nǐmen de hūnyīn zǒu dào jīntiān zuìdà de yuányīn shì shénme ,What do you think is the biggest reason for your marriage to end up like this today?,wife,,,,,,,,,,,,,,,,,,,,,
02:52.8,02:56.1,4,,,,Wife_W02_WW,Wife_W02_WW,我...对这段生活很恐惧,wǒ... Duì zhè duàn shēnghuó hěn kǒngjù ,I am very terrified by this life,hostess,,,,,,,,,,relationship,-ve,appreciation,invoke,attitudinal token,other,恐惧,up:isolated,很,monoglossic,,
02:56.1,02:57.9,4,,,,,Wife_W02_WW,很绝望,hěn juéwàng,Very desperate,hostess,,,,,,,,,,relationship,-ve,appreciation,invoke,attitudinal token,other,绝望,up:isolated,很,monoglossic,,
02:58.9,02:59.9,5,,,,Husband_W02_AH,Husband_W02_AH,怎么说呢,Zěnme shuō ne ,how to say,hostess,,,,,,,,,,,,,,,,,,,,,
02:59.9,03:02.2,5,,,,,Husband_W02_AH,大家没有共同经..经营好婚姻,dàjiā méiyǒu gòngtóng jīng.. Jīngyíng hǎo hūnyīn ,We didn't jointly manage.. manage the marriage well,hostess,,,,,,,,,,couple,-ve,judgement,invoke,denial,,没有,,,monoglossic,,
03:03.1,03:05.0,6,,,,Hostess_W02,Hostess_W02,你是认为双方都有责任,nǐ shì rènwéi shuāngfāng dōu yǒu zérèn ,Do you think both parties are responsible,husband,,,,,,,,,,,,,,,,,,,,,
03:05.0,03:05.5,7,,,,Husband_W02_AH,Husband_W02_AH,对,duì ,Yes,hostess,,,,,,,,,,couple,-ve,judgement,invoke,affirmation,,有责任,,,monoglossic,,
03:06.3,03:10.9,7,,,,,Husband_W02_AH,今天来这里希望各位老师..看看我们的婚姻,jīntiān lái zhèlǐ xīwàng gèwèi lǎoshī.. Kàn kàn wǒmen de hūnyīn ,I come here today and hope you all the teachers.. take a look at our marriage,hostess,,,,,,,,,,,,,,,,,,,,,
03:10.9,03:12.2,7,,,,,Husband_W02_AH,哪里出差错,nǎlǐ chū chāi cuò ,What went wrong,hostess,,,,,,,,,,relationship,-ve,appreciation,inscribe,,,出错,,,expand:entertain,哪里,
03:12.2,03:14.5,7,,,,,Husband_W02_AH,为孩子..为自己..和好,wèi háizi.. Wèi zìjǐ.. Hé hǎo,For the sake of my child..for myself.. to reconciliate,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,为孩子,,,monoglossic,,
03:15.5,03:29.5,7,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
03:29.5,03:32.5,8,,,,Husband_W02_AH,Husband_W02_AH,当时在她那个..胆结石..住院,Dāngshí zài tā nàgè.. Dǎn jiéshí.. Zhùyuàn ,At that time she was..because of gallstones.. She was hospitalized,hostess,,,,,,,,,,,,,,,,,,,,,
03:32.5,03:34.8,8,,,,,Husband_W02_AH,她..回老家养病里以后吧,tā.. Huílǎojiā yǎngbìng lǐ yǐhòu ba,She.. after she went back to her hometown to recover from the illness,hostess,,,,,,,,,,,,,,,,,,,,,
03:35.1,03:52.6,8,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
03:53.4,03:55.9,9,,,,Husband_W02_AH,Husband_W02_AH,我那时是..出去去..要账,Wǒ nà shí shì.. Chūqù qù.. Yào zhàng,I was.. went out.. to collect debts,hostess,,,,,,,,,,,,,,,,,,,,,
