begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
00:31.9,00:33.5,0,,,,Wife_H03_AW,Wife_H03_AW,在别人眼里都是好男人,Zài biérén yǎn lǐ dōu shì hǎo nánrén.,In the eyes of others.. (he) is a good man.,camera,,,,,,,,,,antagonist,+ve,judgement,inscribe,,,好男人,up:isolated,,expand:entertain,别人眼中,
00:33.5,00:36.3,0,,,,,Wife_H03_AW,好多地方就是去照顾他,Hǎoduō dìfāng jiùshì qù zhàogù tā.,In a lot of aspects.. I take care of him.,camera,,,,,,,,,,self,+ve,judgement,inscribe,,,照顾,up:isolated,,contract:proclaim,就是,
00:36.3,00:38.8,0,,,,,Wife_H03_AW,去关心他..就是说,Qù guānxīn tā.. jiùshì shuō.,To care for him.. that is to say.,camera,,,,,,,,,,self,+ve,judgement,inscribe,,,关心,,,expand:entertain,就是说,
00:46.2,00:49.1,0,,,,,Wife_H03_AW,就是说他这方面他不懂得关心,Jiùshì shuō tā zhè fāngmiàn tā bù dǒngdé guānxīn.,That is to say.. he does not know to care for me in this aspect.,camera,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不关心,,,expand:entertain,这方面,
00:49.1,00:52.8,0,,,,,Wife_H03_AW,不懂得关心但是对别人又是很好诶..就是这样子,Bù dǒngdé guānxīn dànshì duì biérén yòu shì hěn hǎo éi.. jiùshì zhèyàng zi.,He doesn't know  to care for me.. but he is very nice to others. That's it.,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,对别人,,,contract:disclaim:counter,但是,
00:52.8,02:17.1,,,,,voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
02:17.1,02:20.2,1,,,,Hostess_H03,Hostess_H03,两位今天来到《金牌调解》要解决什么问题,Liǎng wèi jīntiān lái dào “jīnpái tiáojiě” yào jiějué shénme wèntí,"What problems do you want to resolve by coming to ""Gold Medal Mediation"" today",couple,,,,,,,,,,,,,,,,,,,,,
02:20.2,02:23.0,2,,,,Wife_H03_AW,Wife_H03_AW,就我老公老是触犯我的底线,Jiù wǒ lǎogōng lǎo shì chùfàn wǒ de dǐxiàn…,It's that my husband crosses the line all the time,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,触犯底线,up:isolated,老是,contract:disclaim:counter,老是,
02:23.0,02:24.9,2,,,,,Wife_H03_AW,特别不好受,Tèbié bù hǎoshòu…,I feel extremely uncomfortable,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,不好受,up:isolated,特别,monoglossic,,
02:24.9,02:27.4,2,,,,,Wife_H03_AW,我跟他到现在结婚三十一年,Wǒ gēn tā dào xiànzài jiéhūn sānshíyī nián..,I have been married to him for thirty-one years now..,hostess,,,,,,,,,,,,,,,,,,,,,
02:27.4,02:30.4,2,,,,,Wife_H03_AW,没有一天安全感（哭泣）,Méiyǒu yītiān ānquán gǎn(Kūqì),I don't have a sense of security in any single day (cry),hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,没有安全感,up:isolated,一天,contract:disclaim:counter,没一天,
