begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
00:34.9,00:39.1,0,,,,Wife_W01_WW,Wife_W01_WW,现在就是说离开他的视线(1.145）他就是电话一直打,Xiànzài jiùshì shuō líkāi tā de shìxiàn (1.145) Tā jiùshì diànhuà yīzhí dǎ ,Now that is to say whenever I am not within his sight (1.145) he will keep on calling me,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,一直,,,contract:proclaim,就是说,
00:25.1,00:25.9,0,,,,Husband_W01_AH,Husband_W01_AH,信息拉黑了,xìnxī lā hēile ,She blacklists my SMS messages,camera,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拉黑,,,monoglossic,,
00:25.9,00:26.7,0,,,,,Husband_W01_AH,电话拉黑了,diànhuà lā hēile ,She blacklists my phone call,camera,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拉黑,,,monoglossic,,
00:26.7,00:28.2,0,,,,,Husband_W01_AH,她接触也不让你接触,tā jiēchù yě bù ràng nǐ jiēchù ,She does not allow me to touch her,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,counter-expectancy,,不让接触,,,contract:disclaim:counter,也,
00:39.1,00:40.1,0,,,,Wife_W01_WW,Wife_W01_WW,打几十个电话,dǎ jǐ shí gè diànhuà ,He calls me dozens of times,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,几十个,,,monoglossic,,
00:40.1,00:40.9,0,,,,,Wife_W01_WW,太累了,tài lèile ,(I feel) Too tired,camera,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,累,up:isolated,太……了,monoglossic,,
01:56.2,01:58.5,1,,,,Hostess_W01,Hostess_W01,有问题来调解..来调解没问题,yǒu wèntí lái tiáojiě.. Lái tiáojiě méi wèntí ,If there is a problem come to mediate.. If you come to mediate there will be no problem,,,,,,,,,,,,,,,,,,,,,,
01:58.5,02:00.0,1,,,,,Hostess_W01,大家好..我是张艳,Dàjiā hǎo.. Wǒ shì zhāng yàn ,Hello everyone.. I am Zhang Yan,,,,,,,,,,,,,,,,,,,,,,
02:00.0,02:02.4,1,,,,,Hostess_W01,欢迎本场调解员柏燕谊柏老师,huānyíng běn chǎng tiáojiě yuán bǎi yàn yì bǎi lǎoshī ,Welcome Bai Yanyi teacher Bai today's master mediator,,,,,,,,,,,,,,,,,,,,,,
02:02.4,02:03.3,1,,,,,Hostess_W01,欢迎您,huānyíng nín ,Welcome,,,,,,,,,,,,,,,,,,,,,,
02:03.3,02:05.5,1,,,,,Hostess_W01,欢迎场上的观察员们,huānyíng chǎng shàng de guāncháyuánmen,Welcome all the observers,,,,,,,,,,,,,,,,,,,,,,
02:05.5,02:06.6,1,,,,,Hostess_W01,欢迎大家,huānyíng dàjiā ,welcome everybody,,,,,,,,,,,,,,,,,,,,,,
02:06.6,02:08.7,1,,,,,Hostess_W01,欢迎场上的一对当事人,huānyíng chǎng shàng de yī duì dāngshìrén ,Welcome two participants,,,,,,,,,,,,,,,,,,,,,,
02:08.7,02:09.8,1,,,,,Hostess_W01,是一对夫妻,shì yī duì fūqī ,They are a couple,,,,,,,,,,,,,,,,,,,,,,
02:09.8,02:12.4,1,,,,,Hostess_W01,是吴女士和胡先生,shì wú nǚshì hé hú xiānshēng ,They are Ms. Wu and Mr. Hu,,,,,,,,,,,,,,,,,,,,,,
02:12.4,02:15.7,1,,,,,Hostess_W01,两位今天来到《金牌调解》要解决什么问题,liǎng wèi jīntiān lái dào “jīnpái tiáojiě” yào jiějué shénme wèntí,What problems do you want to resolve by coming to the Gold Medal Mediation ,,,,,,,,,,,,,,,,,,,,,,
02:15.7,02:16.9,2,,,,Wife_W01_WW,Wife_W01_WW,我是要求要离婚,Wǒ shì yāoqiú yào líhūn ,I am asking for a divorce,hostess,IVoE,,,,,,,,,relationship,-ve,appreciation,inscribe,,,离婚,,,contract:proclaim,要求,
