begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
02:20.5,02:24.9,1,,,,Hostess_W03,Hostess_W03,有问题来调解..来调解没问题..欢迎收看江西卫视《金牌调解》,Yǒu wèntí lái tiáojiě.. Lái tiáojiě méi wèntí.. Huānyíng shōukàn jiāngxī wèishì “jīnpái tiáojiě” ,"If there is a problem come to mediate.. If you come to mediate then there will be no problem..welcome to Jiangxi TV ""Gold Medal Mediation""",,,,,,,,,,,,,,,,,,,,,,
02:24.9,02:28.9,1,,,,,Hostess_W03,大家好..我是章婷..欢迎本场调解员胡剑云..欢迎胡老师,dàjiā hǎo.. Wǒ shì zhāng tíng.. Huānyíng běn chǎng tiáojiě yuán hújiànyún.. Huānyíng hú lǎoshī ,Hello everyone.. I’m Zhang Ting.. Welcome to the master mediator Hu Jianyun.. Welcome to Mr. Hu,,,,,,,,,,,,,,,,,,,,,,
02:28.9,02:31.2,1,,,,,Hostess_W03,欢迎观察团各位成员..欢迎大家,huānyíng guānchá tuán gèwèi chéngyuán.. Huānyíng dàjiā ,Welcome today's observers.. Welcome everyone,,,,,,,,,,,,,,,,,,,,,,
02:31.2,02:35.5,1,,,,,Hostess_W03,欢迎双方当事人..邓女士和杨先生,huānyíng shuāngfāng dāngshìrén.. Dèng nǚshì hé yáng xiānshēng,Welcome the two participants.. Ms. Deng and Mr. Yang,,,,,,,,,,,,,,,,,,,,,,
02:35.5,02:39.2,1,,,,,Hostess_W03,了解一下两位当事人的诉求..谁先来说,liǎo jiè yīxià liǎng wèi dāngshìrén de sùqiú.. Shéi xiān lái shuō,Let us know the two participants’ requests.. who wants to speak first,,,,,,,,,,,,,,,,,,,,,,
02:39.2,02:41.5,2,,,,Husband_W03_AH,Husband_W03_AH,就是...过去的就过去了嘛,Jiùshì... Guòqù de jiù guòqùle ma ,It's just... Let the past pass,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,过去,,,contract:proclaim,就,嘛
02:41.5,02:43.6,2,,,,,Husband_W03_AH,就是..从新再来,jiùshì.. Cóngxīn zàilái ,Just..let us start from beginning again,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,重新再来,,,contract:proclaim,,
02:43.7,02:46.8,3,,,,Hostess_W03,Hostess_W03,你说的重新再来的意思是复婚的意思,nǐ shuō de chóngxīn zàilái de yìsi shì fùhūn de yìsi ,What you mean by starting from the beginning again do you mean mean to remarry,husband,,,,,,,,,,,,,,,,,,,,,
02:46.8,02:48.0,4,,,,Husband_W03_AH,Husband_W03_AH,对对对,duì duì duì ,yes yes yes,hostess,,,,,,,,,,self,+ve,judgement,invoke,affirmation,,复婚,,,,,
02:48.1,02:49.2,5,,,,Hostess_W03,Hostess_W03,离婚多久了,líhūn duōjiǔle ,How long have you been divorced,husband,,,,,,,,,,,,,,,,,,,,,
02:49.9,02:51.4,6,,,,Husband_W03_AH,Husband_W03_AH,两三个月的样子,liǎng sān gè yuè de yàngzi,Two or three months,hostess,,,,,,,,,,,,,,,,,,,,,
02:51.6,02:54.2,7,,,,Hostess_W03,Hostess_W03,你提出过这个要求吗..在私下跟她,Nǐ tíchūguò zhège yāoqiú ma.. Zài sīxià gēn tā ,Have you made this request.. in private with her,husband,,,,,,,,,,,,,,,,,,,,,
02:54.2,02:55.2,8,,,,Husband_W03_AH,Husband_W03_AH,提出了,tíchūle ,Yes I did,hostess,,,,,,,,,,self,+ve,judgement,invoke,affirmation,,,,,monoglossic,,
02:55.2,02:57.2,9,,,,Hostess_W03,Hostess_W03,得到的..回应是什么,dédào de.. Huíyīng shì shénme ,What was.. the response,husband,,,,,,,,,,,,,,,,,,,,,
02:57.2,02:57.7,10,,,,Husband_W03_AH,Husband_W03_AH,不同意,bù tóngyì ,She refused,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,,,monoglossic,,
02:59.0,03:00.0,11,,,,Hostess_W03,Hostess_W03,知道为什么吗,zhīdào wèishéme ma,Did you know why,husband,,,,,,,,,,,,,,,,,,,,,
03:00.0,03:01.6,12,,,,Husband_W03_AH,Husband_W03_AH,我也不知道为什么, wǒ yě bù zhīdào wèishéme,I do not know why either,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,,,contract:proclaim,也,
03:02.3,03:04.4,13,,,,Hostess_W03,Hostess_W03,那..邓女士今天的诉求是什么,Nà.. Dèng nǚshì jīntiān de sùqiú shì shénme ,Then..what is Ms. Deng's appeal today,wife,,,,,,,,,,,,,,,,,,,,,
03:04.4,03:06.6,14,,,,Wife_W03_WW,Wife_W03_WW,想来那个一个对错,xiǎnglái nàgè yīgè duì cuò ,I want to figure out right or wrong,hostess,,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,想,,,monoglossic,,
